scheme_link,details_text,eligibility_text
https://www.myscheme.gov.in/schemes/icmr-pdf,"ICMR- Post Doctoral Fellowship (ICMR-PDF) Scheme is being instituted to foster high-quality research opportunities for promising fresh Ph.D./MD/MS holders in the cutting-edge areas of basic science, communicable and non-communicable diseases, and reproductive health including nutrition at ICMR Institutes /Centers. Special focus will be on fundamental research in areas of science and other priority areas identified by ICMR from time to time. ICMR intends to offer fifty (50) such fellowships every year for working in ICMR Institutes/Centers with state-of-the-art R&D facilities. These fellowships will be allocated by the Director General, ICMR, depending upon the needs of the ICMR Institute/Centre.","ICMR-PDFs will be paid a consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) as per Govt. of India rule and Non-Practicing allowance (NPA) as admissible.There is a contingency grant of ₹3,00,000/- per annum.25% of the contingency grant can be used for travel including per diem expenses (only for National travel, related to ICMR-PDF proposed research work only).Note:Fellowship amount will be paid to ICMR institutes/centres every six months including contingency grant.Accommodation and other benefits:Accommodation may be provided by ICMR Institutes/Centers, if available. However, in such cases, HRA will not be paid.ICMR-PDFs will be entitled to medical benefits and leave as per the ICMR rules for JRF/Research Associates."
https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii,"The scheme “Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)” was started by the Department of Social Welfare, Union Territory of Andaman and Nicobar Islands. The objective of the scheme is to provide additional financial assistance (Scholarship) to the OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands for pursuing higher education after Secondary (X)/Senior Secondary (XII), in Government-recognized Polytechnic/ITI/College/University anywhere in India, as an incentive to supplement to the cost of their education.","Value of Scholarship:Under this scheme, an amount of ₹1000/- per month shall be sanctioned to the eligible students belonging to the OBC category.Payment and Mode of Disbursal of Scholarship:The scholarship shall be payable for a duration of ten months in an academic session.The scholarship shall be admissible only to the passed-out students of the previous academic session. (e.g. A student after passing Class XI/Class XII will be eligible for a scholarship only after he/she completes 1st year of the higher education/professional course )The scholarship amount shall be directly credited to the Aadhaar-linked bank account of the beneficiary by the Department of Social Welfare.The award of a scholarship will depend upon the fund availability in a particular financial year."
https://www.myscheme.gov.in/schemes/dacsspostmsebcs,"""Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students"" is a Scholarship Scheme by the Department of Social Justice and Empowerment, Ministry of Social Justice and Empowerment. The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only and will be awarded by the Government of State/Union Territory to which the applicant actually belongs, i.e. permanently settled.","Maintenance Allowance﻿Group ADegree and Post Graduate level courses including M.Phil., PhD and Post Doctoral research in Medicine (Allopathic, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Technology, Agriculture, Veterinary and Allied Sciences, Management, Business Finance/Administration, Computer Science/Applications.Post Graduate Diploma courses in various branches of management & medicine.C.A./ I.C.W.A./ C.S./ I.C.F.A. etc.M. Phil., Ph.D. and Post-Doctoral Programmes (D.Litt., D.Sc. etc.).L.L.MRate of Maintenance Allowance (₹ per month):Hostellers: 750; Day Scholars: 350.﻿Group BGraduate/Post/Graduate courses leading to Degree, Diploma, Certificate in areas like Pharmacy (B. Pharma), Nursing (B Nursing), LLB, BFS, other para-medial branches like rehabilitation diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality Management, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking, Insurance, Taxation etc.) for which entrance qualification is minimum Sr. Secondary (10+2), except aviation related courses.Post Graduate courses not covered under Group A e.g. MA/M.Sc./M.Com/ M.Ed./M.Pharma etc.Rate of Maintenance Allowance (₹ per month):Hostellers: 510; Day Scholars: 335.﻿Group CAll other courses leading to a graduate degree not covered under Group A & B e.g. BA/B.Sc./B.Com etc.Rate of Maintenance Allowance (₹ per month):Hostellers: 400; Day Scholars: 210.﻿Group DAll post-matriculation level non-degree courses for which entrance qualification is High School (Class X), e.g. senior secondary certificate (class XI and XII); both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics, etc.Rate of Maintenance Allowance (₹ per month):Hostellers: 260; Day Scholars: 160.﻿NOTE:Scholars who are entitled to free boarding and/or lodging will be paid maintenance chargers at 1/3rd of the hostellers' rate.﻿Reader Charges for Blind Students (Blind Scholars)The blind scholars will be given an additional amount as 'Readers Charges' as mentioned below:Group: A & B;Reader Allowance (₹ per month): 175Group: C;Reader Allowance (₹ per month): 130Group: D;Reader Allowance (₹ per month): 90﻿FeesScholars will be paid enrolment/registration, tuition, games, union, library, magazine, medical examination and such other fees compulsorily payable by the scholar to the institution or University/Board. Refundable deposit-like caution money and security deposit will, however, be excluded.﻿Study ToursStudy tour charges upto a maximum of Rs. 900/- per annum limited to the actual expenditure incurred by the student on transportation charges etc., will be paid to the scholars studying professional and technical courses, provided that the head of the institution certifies that the study tour is essential for the scholar for completion of his/her course of study.﻿Thesis Typing/ Printing ChargesThesis typing/printing charges upto a maximum of Rs. 1000 will be paid to research scholars on the recommendation of the Head of the Institution.﻿Mode of DisbursalIn order to ensure timely payment of scholarship amount to the beneficiaries, the State Government/UT administrations are requested to avoid cash payment of scholarship amount and are required to issue instructions to all concerned that payment of scholarship should be made directly to beneficiaries through their accounts in post offices/banks with phased transition to Smart Cards.﻿Duration of AwardsThe award once made will be tenable from the stage at which it is given to the completion of the course subject to good conduct and regularity in attendance.﻿Renewal of AwardsIt will be renewed from year to year provided that within a course, which is continuous for a number of years, the scholar secures promotion to the next higher class irrespective of the fact whether such examinations are conducted by a University or the Institution.﻿"
https://www.myscheme.gov.in/schemes/sjpfsgc,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme are the ‘single girl child’, i.e. the only girl child in the family without having any brother or sister. A girl scholar who is one of the twin daughters/fraternal daughters is also eligible to apply for fellowship under the scheme. The number of slots for the fellowship will be decided every year on the basis of eligible applications complete in all respects, received through online mode.","TENURE OF FELLOWSHIP:﻿The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted upto the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date.﻿FINANCIAL ASSISTANCE:﻿Fellowship:JRF @ ₹ 31,000/- p.m. for initial two years (subject to satisfactory progress of research work)SRF @ ₹ 35,000/- p.m. for remaining tenure (subject to satisfactory progress of research work)﻿Contingency:For Humanities and Social Sciences: @ ₹ 10,000/- p.a. for the initial two years, @ ₹ 20,500/- p.a. for the remaining tenure.For Science, Engineering, and Technology @ ₹ 12,000/- p.a. for the initial two years, @ ₹ 25,000/- p.a. for the remaining tenure.﻿Escort Reader Assistance:@ ₹ 3,000/- p.m. in the case of ‘Divyang’ scholars.﻿Note:At the end of tenure/termination of fellowship/resignation of scholar, the books, journals, and equipment purchased out of the contingency grant shall become the property of the institution concerned.﻿HRA:(i)  Hostel accommodation may be provided to the scholars by their institutions. In such cases, the scholar is eligible to draw only hostel fees excludingmess, electricity, water charges, etc. In case, a scholar refuses the hostel accommodation, he/she shall not be eligible to draw HRA.﻿(ii) In case of non-availability of hostel accommodation, the scholar may be provided with single accommodation by the host institution. In such cases, the rent paid by the scholar on an actual basis shall be reimbursed, subject to the ceiling of HRA as per Govt. of India norms.﻿(iii) If the scholar makes her own arrangements of accommodation, he/she shall be entitled to draw HRA as per ceiling and categorization of cities by the Govt. of India. In case, the scholar wishes to draw HRA, he/she is required to submit a certificate, in the prescribed format, to her institution.﻿MEDICAL ASSISTANCE:No separate/fixed medical assistance is provided. However, the scholars may avail the medical facilities available in their Institutionsconcerned.﻿LEAVE:(i)Earned Leavefor a maximum period of 30 days in a year in addition to public holidays may be taken by a scholar. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations, etc.﻿(ii)Maternity/paternity leaveas per the Govt. of India norms issued from time to time shall be available for female scholars at full rates of the fellowship once during the tenure of the fellowship. The period of leave without fellowship, if any, shall be counted towards the tenure.﻿Besides this, an‘Intermittent Break’for a maximum total period of 1 year may also be permissible for women scholars. The break can be availed a maximum of 3 times during the entire period of the fellowship. However, the total duration of the break shall not exceed one year. No fellowship shall be available for the period of such break(s). This period of intermittent breaks shall not be counted towards the tenure of the fellowship, and thus effectively the total period of fellowship shall remain the same.﻿(iii)Academic leave(without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed from UGC.﻿(iv) All kinds of leave shall be availed by the scholar only with due approval of the institution concerned."
https://www.myscheme.gov.in/schemes/evtala,"At the initial stage, groups of students from High School upto College level would be arranged to visit the Assam Legislative Assembly during the sessions, in consultation with the Assam Legislative Assembly Sectt. The educational institutions may be identified, to the extent necessary, with input by the respective DCs/Inspectors of Schools, and the students will be selected by the respective Headmasters/Principals. The students may preferably be from related subjects such as Political Science, Economics, etc. within the Arts/Humanities streams in colleges/higher secondary schools and social sciences in secondary schools. The groups of students would have both girls and boys (if the selected institution is co-educational). Each group will be accompanied and guided by one male and one female teacher to be deputed by the respective Headmasters/Principals.","1.	Practical Exposure: Students gain practical experience by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions.2.	Interaction: Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials.3.	Understanding of Governance: The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process.﻿"
https://www.myscheme.gov.in/schemes/mip,"(MANAGE is an Autonomous Organization of the Ministry of Agriculture & Farmers Welfare, Govt. of India)","StipendFor 3 months Internship Programme₹ 10,000/- per month with free boarding and lodging.For 6 months Internship Programme₹ 35,000/- per month."
https://www.myscheme.gov.in/schemes/csmsu,"Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. These schemes aim to bridge the educational gap and enhance the competitiveness of these students.","The institutions can apply for one or more components of the scheme according to the number of enrolment of Scheduled Castes, Scheduled Tribes, OBC (Non-Creamy Layer), and Minorities Communities Students. If, the number of students in a particular class is more, additional section(s) may be included.  Financial assistance is available for the following items:﻿Non-recurring items: A “one-time” grant up to Rs. 5.0 lakhs for each scheme during the XII Plan period for the following items:1. Books and Journals2. Audio-visual and teaching/ learning aid material3. Computers with Printer4. Photocopier5. Generator or Inverter﻿Recurring Items: Rs.7.00 lakhs for universities for each scheme per annum for expenditure on the following items:1. Honorarium to the Coordinator of the schemes @Rs. 2000/- per month2. Remuneration to teachers and scholars*3. Part-time staff with computer knowledge (on a contract basis) @ 6,000/- p.m.4. Part-time Peon/Attendant.@ Rs.1000/- p.m5. Contingency - Rs 50,000/- per annum﻿Remuneration at the rate of Rs. 300/- per hour per subject to the teachers and Rs.200 /- per hour to postgraduate students/ Research Scholars could be paid for theory classes and Rs.150/-per hour respectively for practicals. Generally, a faculty member should not teach for more than 2 hours a day.  However, in exceptional cases where an eminent educationist is invited for a Special lecture, the remuneration @ Rs.500/- per hour and admissible T.A. could be paid with the approval of the Head of the Institution. The payment of remuneration to the participating teachers, PG students, and research scholars may be paid regularly every month without waiting for the pending grant from the UGC.The final amount of grant to be allocated would depend upon the number of schemes, the number of students enrolled for the schemes in the proposal, and the decision of the Committee appointed for serving the applicants for these schemes."
https://www.myscheme.gov.in/schemes/sak-dip,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.","₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.After selection, the awardee will be paid a scholarship through DBT mode on annual basis.The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal"
https://www.myscheme.gov.in/schemes/jrfrafn,INTRODUCTION,"NATURE OF ASSISTANCEThe number of slots available under the scheme is 20 for Junior Research Fellowship (JRF) and 7 for Research Associateship (RA).The tenure of these awards is four years (Non-extendable) for both JRF and RA.﻿Financial Assistance for JRF -Fellowship@ Rs. 12,000/-p.m. for an initial period of two years.@ Rs. 14,000/-p.m. for the remaining period subject to the recommendation for enhancement/extension by a three-member committee and the Commission’s approval for  Sciences for initial two years.Contingency -@ Rs.12,000/-p.a. for Science@ Rs.10,000/-p.a. for Humanities and Social Sciences@ Rs.25,000/-p.a. for the remaining period for Sciences@ Rs.20,500/-p.a. for the remaining period for HumanitiesDepartment@ Rs. 3,000/-p.a. -- per JRF AssistanceEscort@ Rs. 2,000/-p.a. -- per JRFHandicapped AllowanceHRAas per the rule of the concerned institution﻿Financial Assistance for RA -Fellowship@ Rs. 16,000/-p.m. (Fixed) for 4 yearsContingency@ Rs. 30,000/-p.a.Departmental@ 10% of Associateship to the host institution for providing Assistant infrastructural facilities.HRAas per the rule of the concerned institution.﻿*****﻿HRA(i)   Suitable single-seated hostel accommodation in the institutions may be provided to the JRF, failing which HRA as per rules of the university/institution will be paid to the Fellow subject to the submission of the HRA certificate through Registrar/Principal.(ii)  JRF/RA provided with accommodation in a hostel recognized/maintained by the institutions may be reimbursed the hostel fee, excluding mess, electricity, water charges, etc.(iii)   A certificate to this effect is to be furnished through the Registrar/Principal (Annexure I).(iv)   If JRF/RA makes his/her own arrangements of accommodation, he/she may be entitled to draw HRA as per the categorization of cities by the Government of India.(v)   The Fellow will submit a certificate for this purpose to UGC for claiming HRA through the concerned university/institution/college.﻿MedicalNo separate/fixed medical assistance is provided. However, the JRF/RA may avail of the medical facilities available in the institutions/university.﻿Leave(i)   Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a fellow with the approval of the supervisor. However, they are not entitled to any other vacations, for example, summer, winter, and pooja vacations. Women awardees are eligible for maternity leave at full rates of the fellowships for 135 days as per Government of India rules once during the tenure of their award.(ii)   The awardee may in special cases be allowed by the Commission leave without fellowship/associateship and contingency for a period not exceeding three months during the tenure of the award on the recommendation of the supervisor/Head of the department of the institution concerned. The period of leave without fellowship/associateship will be counted towards the tenure."
https://www.myscheme.gov.in/schemes/ibrs,"The Scheme “Industry Linked Biotechnology Research Scheme (IBRS)” facilitates Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service. Kerala Biotechnology Commission (KBC) under the Kerala State Council for Science, Technology and Environment (KSCSTE) provides project mode support to facilitate Academia-Industry interaction. The project proposals should be result-oriented with an eye on commercializing the product or process or service that would result from it.","Financial assistance in the form of a grant of ₹40 lakhs excluding overhead cost and industry share (25%) for a period of three years shall be provided to Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health and environment.In addition, the host institution will be eligible for an overhead @ 10% of total expenditure subject to a ceiling of ₹2 lakh.Note:Under the scheme, the industrial collaborator who is willing to share 25% of funds additionally, a clear statement needs to be submitted along with an endorsement from the Head of the organization and should clearly mention the extent of financial support and break-up of the budget."
https://www.myscheme.gov.in/schemes/akgbcsy,"Labor Department of Chhattisgarh State started this scheme ""Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012. Under this scheme, financial assistance will be provided for the medical treatment of serious illness like treatment of kidney, cancer, sickle cell anemia, heart disease, AIDS and paralysis.","Unorganized workers can receive up to ₹ 50,000 in medical assistance to help cover the cost of treating kidney, cancer, sickle cell anemia, heart disease, AIDS, and paralysis.If the actual cost of treatment is less than ₹ 50,000, they will only receive the actual cost of treatment."
https://www.myscheme.gov.in/schemes/drfdamt,"The scheme “Distress Relief Fund for the Differently Abled (Medical Treatment)” was launched by the Department of Social Justice, Government of Kerala. As per","Under the scheme, financial assistance of ₹5,000/- per person in a year will be given to the disabled person or who has become handicapped for their medical treatment, including surgery."
https://www.myscheme.gov.in/schemes/admptpfdap,"The Government of Tamil Nadu introduced ""Assistance for Delivery/ Miscarriage of Pregnancy/ Termination of Pregnancy to Female Differently Abled Person with a sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to female differently abled person.","A sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to a female differently abled person."
https://www.myscheme.gov.in/schemes/amrut,The purpose of the Atal Mission for Rejuvenation and Urban Transformation (AMRUT) is to,"The components of the AMRUT consist of capacity building, reform implementation, water supply, sewerage and septage management, storm water drainage, urban transport and development of green spaces and parks. During the process of planning, the Urban Local Bodies (ULBs) will strive to include some smart features in the physical infrastructure components.﻿The details of the Mission components are given below.Water SupplyWater supply systems including augmentation of existing water supply, water treatment plants and universal metering.Rehabilitation of old water supply systems, including treatment plants.Rejuvenation of water bodies specifically for drinking water supply and recharging of ground water.Special water supply arrangement for difficult areas, hill and coastal cities, including those having water quality problems (e.g. arsenic, fluoride)﻿SewerageDecentralised, networked underground sewerage systems, including augmentation of existing sewerage systems and sewage treatment plants.Rehabilitation of old sewerage system and treatment plants.Recycling of water for beneficial purposes and reuse of wastewater.﻿SeptageFaecal Sludge Management- cleaning, transportation and treatment in a cost-effective manner.Mechanical and biological cleaning of sewers and septic tanks and recovery of operational cost in full.﻿Storm Water DrainageConstruction and improvement of drains and storm water drains in order to reduce and eliminate flooding.﻿Urban TransportFerry vessels for inland waterways (excluding port/bay infrastructure) and buses.Footpaths/walkways, sidewalks, foot over-bridges and facilities for non-motorised transport (e.g. bicycles).Multi-level parking.Bus Rapid Transit System (BRTS).﻿Green space and parksDevelopment of green space and parks with special provision for child-friendlycomponents.﻿Reforms management & supportSupport structures, activities and funding support for reform implementation.Independent Reform monitoring agencies.﻿Capacity BuildingThis has two components- individual and institutional capacity building.The capacity building will not be limited to the Mission Cities, but will be extended to other ULBs as well.Continuation of the Comprehensive Capacity Building Programme (CCBP) after its realignment towards the new Missions.﻿Indicative (not exhaustive) list of inadmissible componentsPurchase of land for projects or project related works,Staff salaries of both the State Governments/ULBs,Power,Telecom,Health,Education, andWage employment programme and staff component."
https://www.myscheme.gov.in/schemes/aan,"The scheme “Assam Arogya Nidhi (AAN)” was launched by the Health & Family Welfare Department, Govt. of Assam to provide financial assistance to BPL families and families having an annual income of less than ₹5.00 Lakhs. The financial assistance is provided for general and specialized treatment of (i) life-threatening diseases, and (ii) of injuries caused by natural and manmade disasters, such as industrial/ farm/ road/ rail accidents, bomb blasts, etc. Life-threatening diseases include Heart Diseases and Heart Surgery, Cancer, Kidney and Urinary diseases, Orthopedic, Thallassemia, Bone marrow Transplant, AIDS, and chronic Mental Illness with Surgical Treatment. Beneficiaries are selected by a Selection Committee that has been notified by the Government of Assam. Under the AAN, the Government of India contributes 50% of the funds sanctioned by the State Government.","Under this scheme, financial assistance up to a maximum benefit of ₹3.00 Lakh will be provided.Under this scheme, any serious disease is to be covered which requires surgery/implants/procedures like Bone Marrow Transplant (BMT) or any other critical disease including serious accident cases.All financial assistance will be admissible for treatment in all Government hospitals including Medical Colleges/ Tertiary Health Care facilities, all reputed private hospitals registered under the Clinical Establishment Act and empanelled hospitals of Government of Assam, AAA (Atal Amrit Abhiyan) and PMJAY (Pradhan Mantri Jan Aarogya Yojana).﻿"
https://www.myscheme.gov.in/schemes/tshsbr,"Labor Department of Chhattisgarh State started this scheme ""Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahaayata Yojana"" for unorganized worker on 27 August 2015. The main objective of the scheme to provide financial assistance for the medical treatment.","Financial Assistance : ₹ 2,000/-"
https://www.myscheme.gov.in/schemes/sbm-u,A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households. The Mission has the following components:,"A Financial support of minimumRs - 6667 (in Andhra Pradesh ,Bihar, Chhattisgarh ,Goa, Gujarat, Haryana, Jharkhand, Karnataka ,Kerala, Madhya Pradesh, Maharashtra ,Odisha, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, West Bengal),Rs - 12,000 (in Uttarakhand, Himachal Pradesh, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, Assam)Rs - 5333 (in Union Territories) is provided for Toilet Construction﻿﻿"
https://www.myscheme.gov.in/schemes/bsy,Detailed,"BenefitsThe Bal Sakha Yojana provides expert care to newborn babies to ensure child healthUnder this scheme, the paediatrician attends all eligible newborns at the place of birth and has to ensure their survival by providing early neonatal care including immunizations at birth, nutrition advice.﻿"
https://www.myscheme.gov.in/schemes/gfapscplw,"The scheme “Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to provide assistance for the well-being of Pregnant and Lactating mothers and their children.","Financial Assistance of ₹12,000/- as follows:The pre-natal assistance shall be ₹ 2,000 in cash per month for three months prior to the month of delivery.The post-natal assistance shall be ₹ 2,000 in cash per month for three months following delivery.* The grant of financial assistance is made available only for 2 deliveries."
https://www.myscheme.gov.in/schemes/thasp,"The Tripura Health Assurance Scheme for Poor (THASP) is a government initiative supported by the Central Government of India aimed at providing financial assistance to individuals in Tripura who fall below the poverty line. The scheme, which was launched in 2014 and subsequently amended, provides coverage for hospitalisation, surgeries, therapies, and critical illnesses to eligible families with an annual income less than Rs. 1.5 lakh.","The Tripura Health Assurance Scheme for Poor (THASP) provides health coverage on a family floater basis, with a maximum sum assured of Rs. 1.15 lakh.The scheme includes coverage for transportation expenses incurred in travelling from Agartala to the listed hospital and back, with a maximum coverage limit of Rs. 10,000.The expenses for treatment up to Rs. 1.15 lakh are paid directly to the listed hospital.Financial assistance for transportation is disbursed via a bank draft or directly credited to the beneficiary's account, as per the scheme's guidelines."
https://www.myscheme.gov.in/schemes/nn,"The ""","The inmates are provided care and protection in the institutions.Besides food, shelter, bedding & clothing are also provided.For school-going destitute girls free education is provided in addition to other facilities.The children accompanying the mothers will be entitled to admission subject to the condition that male children after they attain the age of 8 years shall be transferred to Bal Ashrams.The inmate shall remain in the institution till they are rehabilitated/get married/ covered under any schemes for employment and self-employment."
https://www.myscheme.gov.in/schemes/uky,"Violence against women and their children below the age of 18 years by a family member/members, which includes physical, sexual, mental, emotional, economic, threats or coercive or arbitrary deprivation of liberty, whether at home or in a public place, comes under the category of domestic violence.",Providing protection and support against domestic violence
https://www.myscheme.gov.in/schemes/pmay-g,"Launch on 1st April 2016, Pradhan Mantri Awaas Yojana Gramin (PMAY-G) is centre's flagship mission by the Ministry of Rural Development (MoRD), implemented by the Ministry of Housing and Urban Affairs (MoHUA). PMAY-G aims at providing a pucca house, with basic amenities, to all houseless households and those households living in kutcha and dilapidated house. PMAY-G addresses the rural housing shortage and bridges the housing deficit in rural areas of India, contributing significantly to the mission of ""Housing for All"". The minimum size of the houses under PMAY-G is 25 sq m including a dedicated area for hygienic cooking. As of 27th Sept 2022, 2.00 crore houses have been constructed out of the total target of 2.72 crores. The beneficiaries are identified using the Socio-Economic and Caste Census (SECC) parameters and verified by the Gram Sabhas. The amount is transferred directly to the Aadhaar-Linked Bank Account / Post-Office Account of the beneficiary. PMAY-G has been extended for another two years, i.e. till 31st March 2024.","Financial Assistance of ₹ 1,20,000 per unit for plain areas; and ₹ 1,30,000 per unit for hilly areas, difficult areas, and IAP districts (Himalayan states, North-Eastern states, and Union Territories of Jammu & Kashmir).A willing beneficiary can avail of institutional finance (loan) of up to ₹ 70,000 at 3% lower interest rate, to build a permanent house. The maximum principal amount for which subsidy can be sought is ₹ 2,00,000.The minimum size of the house shall be is 25 sq m including a dedicated area for hygienic cooking.In convergence with Swachh Bharat Mission-Gramin (SBM-G), the beneficiaries get financial assistance of up to ₹ 12,000 for the construction of toilets.In convergence with MGNREGA, the beneficiary is entitled to employment as unskilled labor (Rural Mason Training) at ₹ 90.95 per day for 95 days.In convergence with Pradhan Mantri Ujjwala Yojana, one LPG connection per house is provided.Convergence with different government programmes for piped drinking water, electricity connection, clean & efficient cooking fuel, treatment of social and liquid waste, etc.Payments are made electronically directly to bank accounts or post office accounts that are linked to Aadhaar.Note:Beneficiaries are identified using the ""Housing Deprivation Parameters"" from the Socio-Economic and Caste Census (SECC) 2011 [https://secc.gov.in/], further verified by the Gram Sabhas."
https://www.myscheme.gov.in/schemes/ghcsscp,"The scheme “Grant of House Construction Subsidy to Scheduled Caste People” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. Through this scheme, the poor Scheduled Caste people, and other Economically backward class people, who meet the eligibility criteria, are provided house construction subsidy.","The subsidy amount of ₹4,00,000/- is granted in 3 Instalments as follows:1st Installment of ₹1,50,000/- on possession of vacant house site.2nd Installment of ₹1,50,000/-.3rd Installment of ₹1,00,000/-.The building materials worth ₹1,00,000/- will also be provided.* The number of beneficiaries to be covered every year will be completed according to the physical target earmarked in the action Plan."
https://www.myscheme.gov.in/schemes/dfhsscoebc,"Launched in 1981, the scheme “Distribution of Free House Sites to Scheduled Caste/Other Economically Backward Classes” by the Adi Dravidar Welfare Department, Government of Puducherry was introduced to distribute free house sites to Scheduled Caste and Other Economically Backward Classes. Through this scheme, the homeless poor Scheduled Caste people, and other Economically backward class people, who meet the eligibility criteria, are provided housing sites to enable them to construct their own houses. Approximately 11,000 persons so far have benefitted from this scheme.",Distribution of free house sites to Scheduled Caste/Other Economically Backward Classes.
https://www.myscheme.gov.in/schemes/hiip,"The ""Homes for Intellectually Impaired Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, Mentally Deficient Children who are in need of care and protection are admitted into shelter homes through the Child Welfare Committee of the district formed under the Juvenile Justice (Care & Protection of Children) Act 2000 and Amendment Act 2006. The numbers of MDC homes are 19 out of which 14 are granted and 5 are non-granted.","The Mentally Deficient Children who are in need of care and protection are admitted into shelter homes.There are free facilities of food, shelter, and care & protection are provided in these homes."
https://www.myscheme.gov.in/schemes/mabay,"Each family is entitled to live a dignified life with access to essential necessities. Those who are eligible for the housing schemes initiated by either the Central or State government can truly reap the benefits once they obtain a housing plot. Once the residential plot is secured, assistance can be availed for housing loans through government schemes and banks. In light of this, the state government is launching the ""Mukhyamantri Awasiya Bhu-Adhikar Yojana,"" aimed at granting eligible families residential plots on the 'populated areas' within each gram panchayat region in rural areas.",Plot will be provided to all those families who do not have their own house.
